event_count,pattern,repetition,blockchain_latency_ms,postgres_latency_ms,mongo_latency_ms,result_count
100,all_denials,0,108.43300819396973,0.9219646453857422,2.1545886993408203,20
100,all_denials,1,104.14719581604004,0.9469985961914062,1.4102458953857422,20
100,all_denials,2,117.6760196685791,0.9708404541015625,1.592397689819336,20
100,all_denials,3,143.37515830993652,0.7977485656738281,1.6100406646728516,20
100,all_denials,4,121.3524341583252,1.2063980102539062,2.0072460174560547,20
100,all_denials,5,105.97062110900879,1.1391639709472656,2.0987987518310547,20
100,all_denials,6,101.08661651611328,0.9801387786865234,1.7666816711425781,20
100,all_denials,7,114.92133140563965,1.8208026885986328,1.8379688262939453,20
100,all_denials,8,102.04720497131348,0.8559226989746094,1.622915267944336,20
100,all_denials,9,129.55617904663086,0.9210109710693359,1.5916824340820312,20
1000,by_subject,0,9.149312973022461,6.056070327758789,1.9025802612304688,3
1000,by_subject,1,15.41280746459961,1.0178089141845703,1.3566017150878906,3
1000,by_subject,2,11.172056198120117,1.4255046844482422,1.9338130950927734,3
1000,by_subject,3,9.51242446899414,0.9415149688720703,1.3649463653564453,3
1000,by_subject,4,17.788410186767578,1.3539791107177734,1.6748905181884766,3
1000,by_subject,5,18.22495460510254,1.1000633239746094,1.7652511596679688,3
1000,by_subject,6,15.301942825317383,1.8088817596435547,1.779317855834961,3
1000,by_subject,7,18.659353256225586,0.8525848388671875,1.4464855194091797,3
1000,by_subject,8,7.470846176147461,1.2364387512207031,1.6210079193115234,3
1000,by_subject,9,12.556314468383789,1.0116100311279297,1.3914108276367188,3
1000,by_resource,0,16.605854034423828,1.2407302856445312,1.462697982788086,3
1000,by_resource,1,7.688999176025391,1.4595985412597656,5.399465560913086,3
1000,by_resource,2,16.102313995361328,0.9372234344482422,2.187013626098633,3
1000,by_resource,3,10.06174087524414,0.93841552734375,1.8205642700195312,3
1000,by_resource,4,11.030912399291992,1.0309219360351562,2.8815269470214844,3
1000,by_resource,5,13.093233108520508,8.74018669128418,1.8951892852783203,3
1000,by_resource,6,8.335590362548828,4.438161849975586,1.5137195587158203,3
1000,by_resource,7,12.150287628173828,1.123666763305664,1.5408992767333984,3
1000,by_resource,8,16.852378845214844,0.91552734375,1.7480850219726562,3
1000,by_resource,9,15.439510345458984,1.280069351196289,2.0639896392822266,3
1000,time_range,0,1328.8545608520508,2.9561519622802734,7.877111434936523,260
1000,time_range,1,2199.1615295410156,5.953311920166016,13.190269470214844,260
1000,time_range,2,1281.2280654907227,2.7904510498046875,13.727426528930664,260
1000,time_range,3,799.067497253418,2.513408660888672,5.047082901000977,260
1000,time_range,4,1156.489610671997,2.5212764739990234,5.370616912841797,260
1000,time_range,5,2377.2737979888916,2.2470951080322266,5.336284637451172,260
1000,time_range,6,2103.8835048675537,2.596139907836914,21.83389663696289,260
1000,time_range,7,940.3960704803467,3.6919116973876953,20.103931427001953,260
1000,time_range,8,757.866621017456,2.0372867584228516,5.192279815673828,260
1000,time_range,9,1038.5899543762207,2.537965774536133,5.458831787109375,260
1000,all_denials,0,1097.3899364471436,5.177736282348633,10.227441787719727,219
1000,all_denials,1,551.3777732849121,4.6863555908203125,3.9572715759277344,219
1000,all_denials,2,618.786096572876,2.003908157348633,4.7206878662109375,219
1000,all_denials,3,582.3144912719727,2.0630359649658203,4.756927490234375,219
1000,all_denials,4,638.1344795227051,1.4803409576416016,4.917144775390625,219
1000,all_denials,5,532.0017337799072,1.626729965209961,3.2396316528320312,219
1000,all_denials,6,528.0826091766357,1.895904541015625,3.5398006439208984,219
1000,all_denials,7,570.6489086151123,1.3680458068847656,3.0868053436279297,219
1000,all_denials,8,666.9290065765381,4.771947860717773,5.161285400390625,219
1000,all_denials,9,550.4167079925537,2.1333694458007812,2.908468246459961,219
5000,by_subject,0,11.998176574707031,7.132768630981445,4.225730895996094,40
5000,by_subject,1,11.154413223266602,3.2057762145996094,1.939535140991211,40
5000,by_subject,2,12.04371452331543,1.1916160583496094,2.287149429321289,40
5000,by_subject,3,21.36063575744629,1.4469623565673828,2.2385120391845703,40
5000,by_subject,4,15.166521072387695,1.1782646179199219,2.143383026123047,40
5000,by_subject,5,13.14854621887207,1.209259033203125,2.126455307006836,40
5000,by_subject,6,13.52548599243164,1.6520023345947266,2.051115036010742,40
5000,by_subject,7,18.28765869140625,1.6047954559326172,2.827882766723633,40
5000,by_subject,8,11.914253234863281,3.002643585205078,2.063751220703125,40
5000,by_subject,9,13.595104217529297,4.262208938598633,1.9066333770751953,40
5000,by_resource,0,13.985872268676758,1.1038780212402344,1.7185211181640625,12
5000,by_resource,1,11.417865753173828,1.0709762573242188,1.6977787017822266,12
5000,by_resource,2,9.980440139770508,2.146005630493164,1.6663074493408203,12
5000,by_resource,3,16.84856414794922,1.1475086212158203,1.7039775848388672,12
5000,by_resource,4,14.618158340454102,2.390623092651367,2.1820068359375,12
5000,by_resource,5,16.078710556030273,2.7191638946533203,2.7937889099121094,12
5000,by_resource,6,15.520811080932617,9.626150131225586,6.232976913452148,12
5000,by_resource,7,18.98813247680664,1.146078109741211,1.7826557159423828,12
5000,by_resource,8,15.609979629516602,1.1773109436035156,1.9502639770507812,12
5000,by_resource,9,27.06599235534668,1.6791820526123047,1.7697811126708984,12
5000,time_range,0,899.5673656463623,9.555339813232422,32.11355209350586,1215
5000,time_range,1,533.8478088378906,5.2051544189453125,8.857488632202148,1215
