worker,index,status,latency_ms,tx_hash,gas_used,policy_id,error
w0,69,200,39.239,0x7c369c59a09a2c55375cb4c7f82cb02a7f751669228a9694ccf80de60bd0d333,114220,785,
w0,70,200,45.495,0x4c2cc2b2c6c6c8b1854bbfbceab7a666347f223b9256c984b09b4d93e9999cb3,134132,786,
w0,71,200,61.014,0xd6c5a3ea09210c0453397cb5e2004f3be7fd1e82cd275ae4e8da6024b1303488,134001,787,
w0,72,200,43.696,0xb9c8f32bef88fe86cb55aa093f8b661b13fa3e690678b86fcccadf99a28e5b05,134001,788,
w0,73,200,44.039,0x0b637dc02b8ac509e540c7de113827bcd50727da10424f76e07eb0913a9dcae9,134001,789,
w0,74,200,81.525,0x8c6983a3d1253a2724ee8941da9e2f7f973e0b40f8c0b8820d1b36aae9cd92c9,134001,790,
w0,75,200,39.287,0xcad6b9b495ada8597041ac46fcba5c4e28fdaafc0a9bd193ac7532a65efada9d,134132,791,
w0,76,200,40.521,0xd87708a09ca22d7e3132a43dc0f82d95c5ba8c2eb77a5b1b3b6bf84ffc444066,134001,792,
w0,77,200,36.649,0xf4f22b3c2054ad25a0140deeeb69ae6b934bda96c5eaf596c0a954e78435cb23,134001,793,
w0,78,200,34.848,0xb20f4057de5605e273f7a8edf22ccf49eb6472d1c1c9a277316cbb2bf2e0a953,114089,794,
w0,79,200,39.395,0xee6331503c383f5c9396093e6f05c2a344e4e0625f282eb6da2dea0429ea611e,134132,795,
w0,80,200,42.658,0x615350e90d02cc41a99859e085368bbb05bf169b1c2c81fc51f95ec9e463e51f,134001,796,
w0,81,200,36.371,0xf798d470f3d2a9afcabae74f18a674d69b4a1037fa90132e2e71d96568b5e95f,134001,797,
w0,82,200,44.672,0x7011f2bb482af1b242123f4ce16b0cf8bce5c852a14d4ade520c48eb0fa4fcf7,134001,798,
w0,83,200,40.212,0xc15dc9096bff8e29b33321b41eea5e752c970ad76e45db69995aa3ad254d9f0b,134001,799,
w0,84,200,40.013,0x958f303643712243f1656634e5c623e5da5b19863e70e6dcf74bdeeebcd98009,134132,800,
